5 Minutes,Lane 1 Flow (Veh/5 Minutes),% Observed
2/01/2015 0:00,62,100
2/01/2015 0:05,46,100
2/01/2015 0:10,45,100
2/01/2015 0:15,43,100
2/01/2015 0:20,37,100
2/01/2015 0:25,41,100
2/01/2015 0:30,38,100
2/01/2015 0:35,25,100
2/01/2015 0:40,28,100
2/01/2015 0:45,53,100
2/01/2015 0:50,43,100
2/01/2015 0:55,39,100
2/01/2015 1:00,28,100
2/01/2015 1:05,35,100
2/01/2015 1:10,24,0
2/01/2015 1:15,29,0
2/01/2015 1:20,37,100
2/01/2015 1:25,0,100
2/01/2015 1:30,16,0
2/01/2015 1:35,20,0
2/01/2015 1:40,21,0
2/01/2015 1:45,15,100
2/01/2015 1:50,22,0
2/01/2015 1:55,25,100
2/01/2015 2:00,34,100
2/01/2015 2:05,18,100
2/01/2015 2:10,28,100
2/01/2015 2:15,22,100
2/01/2015 2:20,22,100
2/01/2015 2:25,27,100
2/01/2015 2:30,23,100
2/01/2015 2:35,31,100
2/01/2015 2:40,21,100
2/01/2015 2:45,17,100
2/01/2015 2:50,12,100
2/01/2015 2:55,20,100
2/01/2015 3:00,20,100
2/01/2015 3:05,20,100
2/01/2015 3:10,9,100
2/01/2015 3:15,11,100
2/01/2015 3:20,10,100
2/01/2015 3:25,16,100
2/01/2015 3:30,6,100
2/01/2015 3:35,14,100
2/01/2015 3:40,9,100
2/01/2015 3:45,9,100
2/01/2015 3:50,9,100
2/01/2015 3:55,9,100
2/01/2015 4:00,9,100
2/01/2015 4:05,15,100
2/01/2015 4:10,15,100
2/01/2015 4:15,9,100
2/01/2015 4:20,15,100
2/01/2015 4:25,5,100
2/01/2015 4:30,12,100
2/01/2015 4:35,13,100
2/01/2015 4:40,6,100
2/01/2015 4:45,10,100
2/01/2015 4:50,10,100
2/01/2015 4:55,18,100
2/01/2015 5:00,8,100
2/01/2015 5:05,12,100
2/01/2015 5:10,12,100
2/01/2015 5:15,20,100
2/01/2015 5:20,20,100
2/01/2015 5:25,23,100
2/01/2015 5:30,14,100
2/01/2015 5:35,24,100
2/01/2015 5:40,18,100
2/01/2015 5:45,24,100
2/01/2015 5:50,32,100
2/01/2015 5:55,19,100
2/01/2015 6:00,30,100
2/01/2015 6:05,32,100
2/01/2015 6:10,29,100
2/01/2015 6:15,46,100
2/01/2015 6:20,32,100
2/01/2015 6:25,24,100
2/01/2015 6:30,49,100
2/01/2015 6:35,49,100
2/01/2015 6:40,52,100
2/01/2015 6:45,44,100
2/01/2015 6:50,46,100
2/01/2015 6:55,34,100
2/01/2015 7:00,34,100
2/01/2015 7:05,55,100
2/01/2015 7:10,57,100
2/01/2015 7:15,55,100
2/01/2015 7:20,59,100
2/01/2015 7:25,69,100
2/01/2015 7:30,45,100
2/01/2015 7:35,61,100
2/01/2015 7:40,62,100
2/01/2015 7:45,57,100
2/01/2015 7:50,62,100
2/01/2015 7:55,68,100
2/01/2015 8:00,60,0
2/01/2015 8:05,57,0
2/01/2015 8:10,57,0
2/01/2015 8:15,67,0
2/01/2015 8:20,56,0
2/01/2015 8:25,63,0
2/01/2015 8:30,71,0
2/01/2015 8:35,65,0
2/01/2015 8:40,72,0
2/01/2015 8:45,72,0
2/01/2015 8:50,71,0
2/01/2015 8:55,70,0
2/01/2015 9:00,74,0
2/01/2015 9:05,73,0
2/01/2015 9:10,86,0
2/01/2015 9:15,74,0
2/01/2015 9:20,93,0
2/01/2015 9:25,99,0
2/01/2015 9:30,94,0
2/01/2015 9:35,101,0
2/01/2015 9:40,116,0
2/01/2015 9:45,120,0
2/01/2015 9:50,110,0
2/01/2015 9:55,111,0
2/01/2015 10:00,107,0
2/01/2015 10:05,100,0
2/01/2015 10:10,108,0
2/01/2015 10:15,102,0
2/01/2015 10:20,107,0
2/01/2015 10:25,120,100
2/01/2015 10:30,87,100
2/01/2015 10:35,119,100
2/01/2015 10:40,128,100
2/01/2015 10:45,111,100
2/01/2015 10:50,113,100
2/01/2015 10:55,105,100
2/01/2015 11:00,118,100
2/01/2015 11:05,126,100
2/01/2015 11:10,124,100
2/01/2015 11:15,123,100
2/01/2015 11:20,133,100
2/01/2015 11:25,112,100
2/01/2015 11:30,123,100
2/01/2015 11:35,113,100
2/01/2015 11:40,110,100
2/01/2015 11:45,123,100
2/01/2015 11:50,126,100
2/01/2015 11:55,102,100
2/01/2015 12:00,108,100
2/01/2015 12:05,118,100
2/01/2015 12:10,111,100
2/01/2015 12:15,123,100
2/01/2015 12:20,123,100
2/01/2015 12:25,117,100
2/01/2015 12:30,116,100
2/01/2015 12:35,111,100
2/01/2015 12:40,128,100
2/01/2015 12:45,119,100
2/01/2015 12:50,143,100
2/01/2015 12:55,140,100
2/01/2015 13:00,124,100
2/01/2015 13:05,132,100
2/01/2015 13:10,143,100
2/01/2015 13:15,116,100
2/01/2015 13:20,127,100
2/01/2015 13:25,126,0
2/01/2015 13:30,120,0
2/01/2015 13:35,126,0
2/01/2015 13:40,127,0
2/01/2015 13:45,127,0
2/01/2015 13:50,132,100
2/01/2015 13:55,143,100
2/01/2015 14:00,127,100
2/01/2015 14:05,123,100
2/01/2015 14:10,139,100
2/01/2015 14:15,138,100
2/01/2015 14:20,139,100
2/01/2015 14:25,118,100
2/01/2015 14:30,133,100
2/01/2015 14:35,139,100
