5 Minutes,Lane 1 Flow (Veh/5 Minutes),% Observed
2/01/2015 0:00,62,100
2/01/2015 0:05,51,100
2/01/2015 0:10,56,100
2/01/2015 0:15,46,100
2/01/2015 0:20,41,100
2/01/2015 0:25,42,100
2/01/2015 0:30,50,100
2/01/2015 0:35,31,100
2/01/2015 0:40,29,100
2/01/2015 0:45,48,100
2/01/2015 0:50,51,100
2/01/2015 0:55,39,100
2/01/2015 1:00,25,100
2/01/2015 1:05,39,100
2/01/2015 1:10,29,0
2/01/2015 1:15,31,0
2/01/2015 1:20,30,100
2/01/2015 1:25,20,100
2/01/2015 1:30,21,0
2/01/2015 1:35,25,0
2/01/2015 1:40,21,0
2/01/2015 1:45,40,100
2/01/2015 1:50,27,0
2/01/2015 1:55,26,100
2/01/2015 2:00,37,100
2/01/2015 2:05,29,100
2/01/2015 2:10,36,100
2/01/2015 2:15,24,100
2/01/2015 2:20,28,100
2/01/2015 2:25,23,100
2/01/2015 2:30,26,100
2/01/2015 2:35,33,100
2/01/2015 2:40,32,100
2/01/2015 2:45,12,100
2/01/2015 2:50,16,100
2/01/2015 2:55,25,100
2/01/2015 3:00,17,100
2/01/2015 3:05,23,100
2/01/2015 3:10,10,100
2/01/2015 3:15,14,100
2/01/2015 3:20,19,100
2/01/2015 3:25,16,100
2/01/2015 3:30,12,100
2/01/2015 3:35,17,100
2/01/2015 3:40,11,100
2/01/2015 3:45,11,100
2/01/2015 3:50,11,100
2/01/2015 3:55,9,100
2/01/2015 4:00,6,100
2/01/2015 4:05,20,100
2/01/2015 4:10,18,100
2/01/2015 4:15,12,100
2/01/2015 4:20,16,100
2/01/2015 4:25,11,100
2/01/2015 4:30,21,100
2/01/2015 4:35,11,100
2/01/2015 4:40,10,100
2/01/2015 4:45,15,100
2/01/2015 4:50,12,100
2/01/2015 4:55,16,100
2/01/2015 5:00,13,100
2/01/2015 5:05,13,100
2/01/2015 5:10,14,100
2/01/2015 5:15,18,100
2/01/2015 5:20,19,100
2/01/2015 5:25,23,100
2/01/2015 5:30,25,100
2/01/2015 5:35,24,100
2/01/2015 5:40,18,100
2/01/2015 5:45,29,100
2/01/2015 5:50,33,100
2/01/2015 5:55,21,100
2/01/2015 6:00,29,100
2/01/2015 6:05,33,100
2/01/2015 6:10,29,100
2/01/2015 6:15,47,100
2/01/2015 6:20,39,100
2/01/2015 6:25,28,100
2/01/2015 6:30,42,100
2/01/2015 6:35,53,100
2/01/2015 6:40,52,100
2/01/2015 6:45,43,100
2/01/2015 6:50,54,100
2/01/2015 6:55,36,100
2/01/2015 7:00,38,100
2/01/2015 7:05,60,100
2/01/2015 7:10,57,100
2/01/2015 7:15,58,100
2/01/2015 7:20,56,100
2/01/2015 7:25,73,100
2/01/2015 7:30,52,100
2/01/2015 7:35,66,100
2/01/2015 7:40,65,100
2/01/2015 7:45,53,100
2/01/2015 7:50,70,100
2/01/2015 7:55,62,100
2/01/2015 8:00,57,0
2/01/2015 8:05,58,0
2/01/2015 8:10,54,0
2/01/2015 8:15,60,0
2/01/2015 8:20,50,0
2/01/2015 8:25,63,0
2/01/2015 8:30,65,0
2/01/2015 8:35,65,0
2/01/2015 8:40,69,0
2/01/2015 8:45,75,0
2/01/2015 8:50,68,0
2/01/2015 8:55,71,0
2/01/2015 9:00,68,0
2/01/2015 9:05,76,0
2/01/2015 9:10,74,0
2/01/2015 9:15,80,0
2/01/2015 9:20,96,0
2/01/2015 9:25,95,0
2/01/2015 9:30,98,0
2/01/2015 9:35,94,0
2/01/2015 9:40,105,0
2/01/2015 9:45,121,0
2/01/2015 9:50,100,0
2/01/2015 9:55,103,0
2/01/2015 10:00,109,0
2/01/2015 10:05,96,0
2/01/2015 10:10,104,0
2/01/2015 10:15,97,0
2/01/2015 10:20,104,0
2/01/2015 10:25,111,100
2/01/2015 10:30,99,100
2/01/2015 10:35,118,100
2/01/2015 10:40,98,100
2/01/2015 10:45,115,100
2/01/2015 10:50,92,100
2/01/2015 10:55,93,100
2/01/2015 11:00,124,100
2/01/2015 11:05,108,100
2/01/2015 11:10,128,100
2/01/2015 11:15,115,100
2/01/2015 11:20,131,100
2/01/2015 11:25,106,100
2/01/2015 11:30,119,100
2/01/2015 11:35,104,100
2/01/2015 11:40,114,100
2/01/2015 11:45,124,100
2/01/2015 11:50,112,100
2/01/2015 11:55,107,100
2/01/2015 12:00,120,100
2/01/2015 12:05,115,100
2/01/2015 12:10,122,100
2/01/2015 12:15,127,100
2/01/2015 12:20,122,100
2/01/2015 12:25,129,100
2/01/2015 12:30,106,100
2/01/2015 12:35,115,100
2/01/2015 12:40,114,100
2/01/2015 12:45,112,100
2/01/2015 12:50,130,100
2/01/2015 12:55,137,100
2/01/2015 13:00,121,100
2/01/2015 13:05,119,100
2/01/2015 13:10,148,100
2/01/2015 13:15,124,100
2/01/2015 13:20,127,100
2/01/2015 13:25,123,0
2/01/2015 13:30,125,0
2/01/2015 13:35,123,0
2/01/2015 13:40,129,0
2/01/2015 13:45,124,0
2/01/2015 13:50,148,100
2/01/2015 13:55,136,100
2/01/2015 14:00,123,100
2/01/2015 14:05,124,100
2/01/2015 14:10,134,100
2/01/2015 14:15,151,100
2/01/2015 14:20,145,100
2/01/2015 14:25,124,100
2/01/2015 14:30,136,100
2/01/2015 14:35,114,100
2/01/2015 14:40,138,100
2/01/2015 14:45,125,100
2/01/2015 14:50,136,100
2/01/2015 14:55,133,100
2/01/2015 15:00,113,100
2/01/2015 15:05,135,100
2/01/2015 15:10,111,100
2/01/2015 15:15,122,100
2/01/2015 15:20,98,100
2/01/2015 15:25,136,100
2/01/2015 15:30,131,100
2/01/2015 15:35,149,100
2/01/2015 15:40,156,100
2/01/2015 15:45,132,100
2/01/2015 15:50,145,100
2/01/2015 15:55,141,100
2/01/2015 16:00,103,100
2/01/2015 16:05,125,100
2/01/2015 16:10,119,100
2/01/2015 16:15,123,100
2/01/2015 16:20,104,100
2/01/2015 16:25,110,100
2/01/2015 16:30,130,100
2/01/2015 16:35,107,100
2/01/2015 16:40,122,100
2/01/2015 16:45,103,100
2/01/2015 16:50,90,100
2/01/2015 16:55,95,100
2/01/2015 17:00,94,100
2/01/2015 17:05,95,100
2/01/2015 17:10,105,100
2/01/2015 17:15,91,100
2/01/2015 17:20,91,100
2/01/2015 17:25,94,100
2/01/2015 17:30,89,100
2/01/2015 17:35,89,100
2/01/2015 17:40,82,100
2/01/2015 17:45,82,100
2/01/2015 17:50,76,100
2/01/2015 17:55,91,100
2/01/2015 18:00,79,100
2/01/2015 18:05,83,100
2/01/2015 18:10,98,100
2/01/2015 18:15,78,100
2/01/2015 18:20,84,100
2/01/2015 18:25,76,100
2/01/2015 18:30,75,100
2/01/2015 18:35,80,100
2/01/2015 18:40,91,100
2/01/2015 18:45,76,100
2/01/2015 18:50,66,100
2/01/2015 18:55,76,100
2/01/2015 19:00,53,100
2/01/2015 19:05,66,100
2/01/2015 19:10,67,100
2/01/2015 19:15,72,100
2/01/2015 19:20,83,100
2/01/2015 19:25,89,100
2/01/2015 19:30,112,100
2/01/2015 19:35,134,100
2/01/2015 19:40,118,100
2/01/2015 19:45,115,100
2/01/2015 19:50,130,100
2/01/2015 19:55,129,100
2/01/2015 20:00,110,100
2/01/2015 20:05,137,100
2/01/2015 20:10,122,100
2/01/2015 20:15,133,100
2/01/2015 20:20,114,100
2/01/2015 20:25,121,100
2/01/2015 20:30,126,100
2/01/2015 20:35,142,100
2/01/2015 20:40,80,100
2/01/2015 20:45,94,0
2/01/2015 20:50,87,100
2/01/2015 20:55,93,100
2/01/2015 21:00,94,100
2/01/2015 21:05,102,100
2/01/2015 21:10,96,100
2/01/2015 21:15,104,100
2/01/2015 21:20,85,100
2/01/2015 21:25,84,100
2/01/2015 21:30,83,100
2/01/2015 21:35,103,100
2/01/2015 21:40,97,100
2/01/2015 21:45,88,100
2/01/2015 21:50,60,100
2/01/2015 21:55,73,100
2/01/2015 22:00,63,100
2/01/2015 22:05,70,100
2/01/2015 22:10,79,100
2/01/2015 22:15,57,100
2/01/2015 22:20,75,100
2/01/2015 22:25,66,100
2/01/2015 22:30,60,100
2/01/2015 22:35,68,100
2/01/2015 22:40,61,100
2/01/2015 22:45,43,100
2/01/2015 22:50,47,100
2/01/2015 22:55,25,100
2/01/2015 23:00,39,100
2/01/2015 23:05,36,100
2/01/2015 23:10,50,100
2/01/2015 23:15,26,100
2/01/2015 23:20,33,100
2/01/2015 23:25,33,100
2/01/2015 23:30,42,100
2/01/2015 23:35,40,100
2/01/2015 23:40,25,100
2/01/2015 23:45,34,100
2/01/2015 23:50,20,100
2/01/2015 23:55,25,100
2/02/2015 0:00,21,100
2/02/2015 0:05,17,100
2/02/2015 0:10,21,100
2/02/2015 0:15,12,100
2/02/2015 0:20,19,100
